Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(3081664k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=31457280 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
0.162: [GC (Allocation Failure) 0.162: [ParNew: 45075K->572K(76800K), 0.0012123 secs] 45075K->572K(179200K), 0.0013295 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.020: [GC (Allocation Failure) 67.020: [ParNew: 41959K->0K(76800K), 0.0004043 secs] 42809K->849K(179200K), 0.0004682 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
68.029: [GC (Allocation Failure) 68.029: [ParNew: 41959K->0K(76800K), 0.0004920 secs] 42809K->849K(179200K), 0.0005672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.035: [GC (Allocation Failure) 68.035: [ParNew: 41959K->0K(76800K), 0.0003238 secs] 42809K->849K(179200K), 0.0003931 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
69.043: [GC (Allocation Failure) 69.043: [ParNew: 41959K->0K(76800K), 0.0003775 secs] 42809K->849K(179200K), 0.0004433 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.048: [GC (Allocation Failure) 69.048: [ParNew: 41959K->0K(76800K), 0.0003465 secs] 42809K->849K(179200K), 0.0004057 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.056: [GC (Allocation Failure) 70.056: [ParNew: 41959K->0K(76800K), 0.0003943 secs] 42809K->849K(179200K), 0.0004780 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.060: [GC (Allocation Failure) 70.060: [ParNew: 41959K->0K(76800K), 0.0003302 secs] 42809K->849K(179200K), 0.0003866 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
71.067: [GC (Allocation Failure) 71.067: [ParNew: 41959K->0K(76800K), 0.0006254 secs] 42809K->849K(179200K), 0.0007256 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.072: [GC (Allocation Failure) 71.072: [ParNew: 41959K->0K(76800K), 0.0003832 secs] 42809K->849K(179200K), 0.0004470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
72.076: [GC (Allocation Failure) 72.077: [ParNew: 41959K->0K(76800K), 0.0005019 secs] 42809K->849K(179200K), 0.0005846 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
72.082: [GC (Allocation Failure) 72.082: [ParNew: 41959K->0K(76800K), 0.0004077 secs] 42809K->849K(179200K), 0.0004654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
73.088: [GC (Allocation Failure) 73.088: [ParNew: 41959K->0K(76800K), 0.0009344 secs] 42809K->849K(179200K), 0.0010564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
73.095: [GC (Allocation Failure) 73.095: [ParNew: 41959K->0K(76800K), 0.0007445 secs] 42809K->849K(179200K), 0.0008191 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
74.104: [GC (Allocation Failure) 74.104: [ParNew: 41959K->0K(76800K), 0.0009210 secs] 42809K->849K(179200K), 0.0010389 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
74.111: [GC (Allocation Failure) 74.111: [ParNew: 41959K->0K(76800K), 0.0005032 secs] 42809K->849K(179200K), 0.0005710 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
75.120: [GC (Allocation Failure) 75.120: [ParNew: 41959K->0K(76800K), 0.0008673 secs] 42809K->849K(179200K), 0.0010306 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
75.126: [GC (Allocation Failure) 75.126: [ParNew: 41959K->0K(76800K), 0.0003997 secs] 42809K->849K(179200K), 0.0004500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.133: [GC (Allocation Failure) 76.133: [ParNew: 41959K->0K(76800K), 0.0007406 secs] 42809K->849K(179200K), 0.0008400 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
76.139: [GC (Allocation Failure) 76.139: [ParNew: 41959K->0K(76800K), 0.0004053 secs] 42809K->849K(179200K), 0.0004666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.143: [GC (Allocation Failure) 77.143: [ParNew: 41959K->0K(76800K), 0.0008043 secs] 42809K->849K(179200K), 0.0009229 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.150: [GC (Allocation Failure) 77.150: [ParNew: 41959K->0K(76800K), 0.0004609 secs] 42809K->849K(179200K), 0.0005188 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.158: [GC (Allocation Failure) 78.158: [ParNew: 41959K->0K(76800K), 0.0007114 secs] 42809K->849K(179200K), 0.0008247 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
78.164: [GC (Allocation Failure) 78.164: [ParNew: 41959K->0K(76800K), 0.0003706 secs] 42809K->849K(179200K), 0.0004360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.171: [GC (Allocation Failure) 79.171: [ParNew: 41959K->0K(76800K), 0.0006255 secs] 42809K->849K(179200K), 0.0007285 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.176: [GC (Allocation Failure) 79.176: [ParNew: 41959K->0K(76800K), 0.0004324 secs] 42809K->849K(179200K), 0.0004877 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.183: [GC (Allocation Failure) 80.183: [ParNew: 41959K->0K(76800K), 0.0008219 secs] 42809K->849K(179200K), 0.0009670 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
80.189: [GC (Allocation Failure) 80.189: [ParNew: 41959K->0K(76800K), 0.0005796 secs] 42809K->849K(179200K), 0.0006308 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.198: [GC (Allocation Failure) 81.198: [ParNew: 41959K->0K(76800K), 0.0006215 secs] 42809K->849K(179200K), 0.0007029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.203: [GC (Allocation Failure) 81.203: [ParNew: 41959K->0K(76800K), 0.0003641 secs] 42809K->849K(179200K), 0.0004134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.211: [GC (Allocation Failure) 82.211: [ParNew: 41959K->0K(76800K), 0.0003702 secs] 42809K->849K(179200K), 0.0004246 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.214: [GC (Allocation Failure) 82.214: [ParNew: 41959K->0K(76800K), 0.0003247 secs] 42809K->849K(179200K), 0.0003584 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.220: [GC (Allocation Failure) 83.220: [ParNew: 41959K->0K(76800K), 0.0011981 secs] 42809K->849K(179200K), 0.0013236 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
83.227: [GC (Allocation Failure) 83.227: [ParNew: 41959K->0K(76800K), 0.0004919 secs] 42809K->849K(179200K), 0.0005555 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
84.237: [GC (Allocation Failure) 84.237: [ParNew: 41959K->0K(76800K), 0.0003875 secs] 42809K->849K(179200K), 0.0004540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.241: [GC (Allocation Failure) 84.241: [ParNew: 41959K->0K(76800K), 0.0003559 secs] 42809K->849K(179200K), 0.0003949 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.249: [GC (Allocation Failure) 85.249: [ParNew: 41959K->0K(76800K), 0.0003820 secs] 42809K->849K(179200K), 0.0004548 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.254: [GC (Allocation Failure) 85.254: [ParNew: 41959K->0K(76800K), 0.0003855 secs] 42809K->849K(179200K), 0.0004453 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.261: [GC (Allocation Failure) 86.261: [ParNew: 41959K->0K(76800K), 0.0004985 secs] 42809K->849K(179200K), 0.0005726 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
86.266: [GC (Allocation Failure) 86.266: [ParNew: 41959K->0K(76800K), 0.0004247 secs] 42809K->849K(179200K), 0.0004690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.273: [GC (Allocation Failure) 87.273: [ParNew: 41959K->0K(76800K), 0.0006885 secs] 42809K->849K(179200K), 0.0008183 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.279: [GC (Allocation Failure) 87.279: [ParNew: 41959K->0K(76800K), 0.0004527 secs] 42809K->849K(179200K), 0.0005214 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.286: [GC (Allocation Failure) 88.286: [ParNew: 41959K->0K(76800K), 0.0005947 secs] 42809K->849K(179200K), 0.0006860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.292: [GC (Allocation Failure) 88.292: [ParNew: 41959K->0K(76800K), 0.0004206 secs] 42809K->849K(179200K), 0.0004751 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.298: [GC (Allocation Failure) 89.298: [ParNew: 41959K->0K(76800K), 0.0007538 secs] 42809K->849K(179200K), 0.0008736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.304: [GC (Allocation Failure) 89.304: [ParNew: 41959K->0K(76800K), 0.0004458 secs] 42809K->849K(179200K), 0.0005152 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
90.313: [GC (Allocation Failure) 90.313: [ParNew: 41959K->0K(76800K), 0.0004704 secs] 42809K->849K(179200K), 0.0005418 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.318: [GC (Allocation Failure) 90.318: [ParNew: 41959K->0K(76800K), 0.0003961 secs] 42809K->849K(179200K), 0.0004513 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.325: [GC (Allocation Failure) 91.325: [ParNew: 41959K->0K(76800K), 0.0005737 secs] 42809K->849K(179200K), 0.0006736 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
91.331: [GC (Allocation Failure) 91.331: [ParNew: 41959K->0K(76800K), 0.0004436 secs] 42809K->849K(179200K), 0.0004997 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.338: [GC (Allocation Failure) 92.339: [ParNew: 41959K->0K(76800K), 0.0007435 secs] 42809K->849K(179200K), 0.0008458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.345: [GC (Allocation Failure) 92.345: [ParNew: 41959K->0K(76800K), 0.0005232 secs] 42809K->849K(179200K), 0.0005747 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
93.354: [GC (Allocation Failure) 93.354: [ParNew: 41959K->0K(76800K), 0.0004417 secs] 42809K->849K(179200K), 0.0005108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.358: [GC (Allocation Failure) 93.358: [ParNew: 41959K->0K(76800K), 0.0003625 secs] 42809K->849K(179200K), 0.0004190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.366: [GC (Allocation Failure) 94.366: [ParNew: 41959K->0K(76800K), 0.0005146 secs] 42809K->849K(179200K), 0.0006136 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
94.371: [GC (Allocation Failure) 94.371: [ParNew: 41959K->0K(76800K), 0.0004248 secs] 42809K->849K(179200K), 0.0004853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.378: [GC (Allocation Failure) 95.379: [ParNew: 41959K->0K(76800K), 0.0004753 secs] 42809K->849K(179200K), 0.0005560 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.384: [GC (Allocation Failure) 95.384: [ParNew: 41959K->0K(76800K), 0.0004271 secs] 42809K->849K(179200K), 0.0004954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.392: [GC (Allocation Failure) 96.392: [ParNew: 41959K->0K(76800K), 0.0004336 secs] 42809K->849K(179200K), 0.0005045 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.397: [GC (Allocation Failure) 96.397: [ParNew: 41959K->0K(76800K), 0.0003782 secs] 42809K->849K(179200K), 0.0004284 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
97.405: [GC (Allocation Failure) 97.405: [ParNew: 41959K->0K(76800K), 0.0009723 secs] 42809K->849K(179200K), 0.0011387 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
97.411: [GC (Allocation Failure) 97.411: [ParNew: 41959K->0K(76800K), 0.0004584 secs] 42809K->849K(179200K), 0.0005191 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.421: [GC (Allocation Failure) 98.421: [ParNew: 41959K->0K(76800K), 0.0005644 secs] 42809K->849K(179200K), 0.0006554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.426: [GC (Allocation Failure) 98.426: [ParNew: 41959K->0K(76800K), 0.0004225 secs] 42809K->849K(179200K), 0.0004839 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
99.435: [GC (Allocation Failure) 99.435: [ParNew: 41959K->0K(76800K), 0.0006247 secs] 42809K->849K(179200K), 0.0007322 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
99.440: [GC (Allocation Failure) 99.440: [ParNew: 41959K->0K(76800K), 0.0004501 secs] 42809K->849K(179200K), 0.0005047 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
100.448: [GC (Allocation Failure) 100.448: [ParNew: 41959K->0K(76800K), 0.0003960 secs] 42809K->849K(179200K), 0.0004614 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
100.453: [GC (Allocation Failure) 100.453: [ParNew: 41959K->0K(76800K), 0.0004572 secs] 42809K->849K(179200K), 0.0005032 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
101.458: [GC (Allocation Failure) 101.458: [ParNew: 41959K->0K(76800K), 0.0007205 secs] 42809K->849K(179200K), 0.0008031 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
101.463: [GC (Allocation Failure) 101.463: [ParNew: 41959K->0K(76800K), 0.0003882 secs] 42809K->849K(179200K), 0.0004417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
102.472: [GC (Allocation Failure) 102.472: [ParNew: 41959K->0K(76800K), 0.0004473 secs] 42809K->849K(179200K), 0.0005331 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
102.476: [GC (Allocation Failure) 102.476: [ParNew: 41959K->0K(76800K), 0.0004092 secs] 42809K->849K(179200K), 0.0004616 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
103.485: [GC (Allocation Failure) 103.485: [ParNew: 41959K->0K(76800K), 0.0005295 secs] 42809K->849K(179200K), 0.0005948 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
103.489: [GC (Allocation Failure) 103.489: [ParNew: 41959K->0K(76800K), 0.0003046 secs] 42809K->849K(179200K), 0.0003429 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
104.494: [GC (Allocation Failure) 104.494: [ParNew: 41959K->0K(76800K), 0.0005128 secs] 42809K->849K(179200K), 0.0006219 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
104.499: [GC (Allocation Failure) 104.499: [ParNew: 41959K->0K(76800K), 0.0003980 secs] 42809K->849K(179200K), 0.0004724 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
105.509: [GC (Allocation Failure) 105.509: [ParNew: 41959K->0K(76800K), 0.0006735 secs] 42809K->849K(179200K), 0.0007381 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.514: [GC (Allocation Failure) 105.514: [ParNew: 41959K->0K(76800K), 0.0003497 secs] 42809K->849K(179200K), 0.0004174 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
106.520: [GC (Allocation Failure) 106.520: [ParNew: 41959K->0K(76800K), 0.0008506 secs] 42809K->849K(179200K), 0.0009880 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
106.527: [GC (Allocation Failure) 106.527: [ParNew: 41959K->0K(76800K), 0.0004934 secs] 42809K->849K(179200K), 0.0005655 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
107.533: [GC (Allocation Failure) 107.533: [ParNew: 41959K->0K(76800K), 0.0009075 secs] 42809K->849K(179200K), 0.0010093 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.538: [GC (Allocation Failure) 107.538: [ParNew: 41959K->0K(76800K), 0.0006515 secs] 42809K->849K(179200K), 0.0007269 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.547: [GC (Allocation Failure) 108.547: [ParNew: 41959K->0K(76800K), 0.0005142 secs] 42809K->849K(179200K), 0.0006044 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
108.552: [GC (Allocation Failure) 108.552: [ParNew: 41959K->0K(76800K), 0.0003526 secs] 42809K->849K(179200K), 0.0004199 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.561: [GC (Allocation Failure) 109.561: [ParNew: 41959K->0K(76800K), 0.0005268 secs] 42809K->849K(179200K), 0.0005925 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.566: [GC (Allocation Failure) 109.566: [ParNew: 41959K->0K(76800K), 0.0004302 secs] 42809K->849K(179200K), 0.0004912 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.572: [GC (Allocation Failure) 110.572: [ParNew: 41959K->0K(76800K), 0.0004825 secs] 42809K->849K(179200K), 0.0005560 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.577: [GC (Allocation Failure) 110.577: [ParNew: 41959K->0K(76800K), 0.0004320 secs] 42809K->849K(179200K), 0.0005119 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
111.590: [GC (Allocation Failure) 111.590: [ParNew: 41959K->0K(76800K), 0.0004166 secs] 42809K->849K(179200K), 0.0004901 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
111.595: [GC (Allocation Failure) 111.595: [ParNew: 41959K->0K(76800K), 0.0004107 secs] 42809K->849K(179200K), 0.0004749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
112.603: [GC (Allocation Failure) 112.603: [ParNew: 41959K->0K(76800K), 0.0003824 secs] 42809K->849K(179200K), 0.0004469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
112.608: [GC (Allocation Failure) 112.608: [ParNew: 41959K->0K(76800K), 0.0004883 secs] 42809K->849K(179200K), 0.0005611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
113.619: [GC (Allocation Failure) 113.619: [ParNew: 41959K->0K(76800K), 0.0008526 secs] 42809K->849K(179200K), 0.0009695 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
113.625: [GC (Allocation Failure) 113.625: [ParNew: 41959K->0K(76800K), 0.0004137 secs] 42809K->849K(179200K), 0.0004791 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
114.634: [GC (Allocation Failure) 114.634: [ParNew: 41959K->0K(76800K), 0.0003805 secs] 42809K->849K(179200K), 0.0004332 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
114.638: [GC (Allocation Failure) 114.638: [ParNew: 41959K->0K(76800K), 0.0003299 secs] 42809K->849K(179200K), 0.0004358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.645: [GC (Allocation Failure) 115.645: [ParNew: 41959K->0K(76800K), 0.0005623 secs] 42809K->849K(179200K), 0.0006523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.650: [GC (Allocation Failure) 115.650: [ParNew: 41959K->0K(76800K), 0.0004055 secs] 42809K->849K(179200K), 0.0004669 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.659: [GC (Allocation Failure) 116.659: [ParNew: 41959K->0K(76800K), 0.0004563 secs] 42809K->849K(179200K), 0.0005188 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
116.663: [GC (Allocation Failure) 116.664: [ParNew: 41959K->0K(76800K), 0.0003485 secs] 42809K->849K(179200K), 0.0003835 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.672: [GC (Allocation Failure) 117.672: [ParNew: 41959K->0K(76800K), 0.0017515 secs] 42809K->849K(179200K), 0.0019970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.681: [GC (Allocation Failure) 117.681: [ParNew: 41959K->0K(76800K), 0.0003707 secs] 42809K->849K(179200K), 0.0004269 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.689: [GC (Allocation Failure) 118.689: [ParNew: 41959K->0K(76800K), 0.0004557 secs] 42809K->849K(179200K), 0.0005406 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
118.693: [GC (Allocation Failure) 118.694: [ParNew: 41959K->0K(76800K), 0.0003737 secs] 42809K->849K(179200K), 0.0004136 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
119.702: [GC (Allocation Failure) 119.702: [ParNew: 41959K->0K(76800K), 0.0006981 secs] 42809K->849K(179200K), 0.0008053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
119.707: [GC (Allocation Failure) 119.707: [ParNew: 41959K->0K(76800K), 0.0004935 secs] 42809K->849K(179200K), 0.0005444 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
120.714: [GC (Allocation Failure) 120.714: [ParNew: 41959K->0K(76800K), 0.0007060 secs] 42809K->849K(179200K), 0.0008484 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
120.724: [GC (Allocation Failure) 120.725: [ParNew: 41959K->0K(76800K), 0.0006171 secs] 42809K->849K(179200K), 0.0007563 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
121.733: [GC (Allocation Failure) 121.733: [ParNew: 41959K->0K(76800K), 0.0003679 secs] 42809K->849K(179200K), 0.0004457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
121.738: [GC (Allocation Failure) 121.738: [ParNew: 41959K->0K(76800K), 0.0005036 secs] 42809K->849K(179200K), 0.0006194 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
122.752: [GC (Allocation Failure) 122.752: [ParNew: 41959K->0K(76800K), 0.0006266 secs] 42809K->849K(179200K), 0.0007390 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
122.758: [GC (Allocation Failure) 122.758: [ParNew: 41959K->0K(76800K), 0.0004381 secs] 42809K->849K(179200K), 0.0004907 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
123.765: [GC (Allocation Failure) 123.765: [ParNew: 41959K->0K(76800K), 0.0009311 secs] 42809K->849K(179200K), 0.0027077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
123.774: [GC (Allocation Failure) 123.774: [ParNew: 41959K->0K(76800K), 0.0004785 secs] 42809K->849K(179200K), 0.0005637 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.783: [GC (Allocation Failure) 124.783: [ParNew: 41959K->0K(76800K), 0.0003952 secs] 42809K->849K(179200K), 0.0004639 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.792: [GC (Allocation Failure) 124.792: [ParNew: 41959K->0K(76800K), 0.0004780 secs] 42809K->849K(179200K), 0.0005949 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.806: [GC (Allocation Failure) 125.806: [ParNew: 41959K->0K(76800K), 0.0005115 secs] 42809K->849K(179200K), 0.0006528 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
125.815: [GC (Allocation Failure) 125.815: [ParNew: 41959K->0K(76800K), 0.0005045 secs] 42809K->849K(179200K), 0.0006029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.823: [GC (Allocation Failure) 126.824: [ParNew: 41959K->0K(76800K), 0.0008238 secs] 42809K->849K(179200K), 0.0010187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.833: [GC (Allocation Failure) 126.833: [ParNew: 41959K->0K(76800K), 0.0004195 secs] 42809K->849K(179200K), 0.0005223 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
127.847: [GC (Allocation Failure) 127.847: [ParNew: 41959K->0K(76800K), 0.0005240 secs] 42809K->849K(179200K), 0.0006282 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
127.852: [GC (Allocation Failure) 127.852: [ParNew: 41959K->0K(76800K), 0.0004103 secs] 42809K->849K(179200K), 0.0004722 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
128.857: [GC (Allocation Failure) 128.857: [ParNew: 41959K->0K(76800K), 0.0004070 secs] 42809K->849K(179200K), 0.0004867 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
128.862: [GC (Allocation Failure) 128.862: [ParNew: 41959K->0K(76800K), 0.0003659 secs] 42809K->849K(179200K), 0.0004228 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
129.870: [GC (Allocation Failure) 129.870: [ParNew: 41959K->0K(76800K), 0.0005836 secs] 42809K->849K(179200K), 0.0006880 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
129.876: [GC (Allocation Failure) 129.876: [ParNew: 41959K->0K(76800K), 0.0004087 secs] 42809K->849K(179200K), 0.0004784 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
130.883: [GC (Allocation Failure) 130.883: [ParNew: 41959K->0K(76800K), 0.0005302 secs] 42809K->849K(179200K), 0.0006339 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
130.888: [GC (Allocation Failure) 130.888: [ParNew: 41959K->0K(76800K), 0.0005479 secs] 42809K->849K(179200K), 0.0006208 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
131.894: [GC (Allocation Failure) 131.894: [ParNew: 41959K->0K(76800K), 0.0009225 secs] 42809K->849K(179200K), 0.0010687 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
131.901: [GC (Allocation Failure) 131.901: [ParNew: 41959K->0K(76800K), 0.0004767 secs] 42809K->849K(179200K), 0.0005909 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
